source,product_title,average_rating,review_title,content,rating,likes
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Perfect product!,I'm really happy so good,5.0,15
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Highly recommended,Good product,5.0,58
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Highly recommended,Very good and good looking,5.0,43
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Fabulous!,Product is very nice . worth the price. Anyone can really go for it😍😍,5.0,25
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Mind-blowing purchase,Best sound & bass & backup battery,5.0,37
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Awesome,Beautiful ek number,5.0,79
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Nice,After 1 month it's not working I am just shoked this was my best neckband after searching a lot of neckbands no warrantey 😶😶,3.0,23
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Really Nice,Sound quality good........👍,4.0,51
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Worst experience ever!,After 24days it's not working 🥺 Don't buy this 😓😓😓😓,1.0,254
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Terrific purchase,Best bluetooth headset and battery backup is good.......,5.0,42
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Worst experience ever!,mic problem,1.0,20
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Moderate,product is not good.  right side earphone stopped working after 20 days of purchase. how can i replace the same. pl advise,2.0,18
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Very poor,"Worst product . Left side earphone stop working in few days. Please don't purchase it, purchase boat or other brand earphones.",1.0,60
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Fair,sound quality low and one side not working,3.0,5
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Super!,Good building,5.0,12
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Super!,Good product and thank flipkart,5.0,25
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Super!,Super 🥰 amazing Thanks Flipkart,5.0,13
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Brilliant,Very nice sound good better bettry back up,5.0,13
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Not good,Magnet quality very poor,2.0,31
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Mind-blowing purchase,Very good,5.0,29
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Does the job,Ok ok.. product not a sooo gud..nd not soo baad it's Just fine 👍,3.0,36
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Mind-blowing purchase,Nice product,5.0,4
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Awesome,Very good  sounds,5.0,4
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Worth every penny,Thanks🙏🙇🙏🙇 you flipcart,5.0,4
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Brilliant,It is very good product in the price range. And it looks like apple Air pods. Very cool design and awesome product. The sound is good and build is strong. I say go for it better than any other.,5.0,2145
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Best in the market!,"Finally every feature that i want merged to one single brand. Happy with bass, treble, crystal clear sound, perfect for calling, very comfortable to ears, decent look, best battery backup, build quality excellent. Everything is perfect.",5.0,725
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Must buy!,I really like the quality of case. Its compact and easy to carry. The sound is very deep and clear. Amazing audio qualitya and deep bass. C type slot and cable with fast charging. A complete full package with minimum cost. Worth buying this.,5.0,819
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Just okay,Sound quality is good and has got nice battery backup too. Touch does not works perfectly. And build quality is not good of the case.,3.0,106
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Excellent,"Great quality thanks for this i can't believe how impressive is this audio bass trebles is great good quality,i recommend to all buyers to buy with without any queries thinking about this .Thanks for this 😍😍😌😌😌",5.0,193
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Super!,This  XPODS  case has a glossy finished look with light weight. It takes 1hour to fully charge the case as well as the earbuds. The earbuds design is some what like apple but it gives pain as I am   not used to this type of models. It gives nice bass for the songs and gives backup up to 18hours as I used it in medium volume I observed Up to 22 hours backup.it is easy to pair as I am not aware of the touch control model it took some time to get used to it. This model is perfect for calls only for the inside environment  for outside environment better don't use it. Overall performance and experience with this model is highly satisfied.,5.0,275
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Wonderful,"Bought these in flipkart big billion days sale at a very healthy discount. After early use of the product, I can say that these are really good earbuds in value for money prospect. Bass is the best thing about these because it's really really good. You have to compromise with noise cancellation in this price range. Battery backup is also good of about 14-15 hours in regular use. At the end, undoubtedly go for it in this budget.",5.0,640
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Wonderful,Bass boosted is awesome. Sound is a decent quality and chase is very good quality products so very very good this charging port is type c is very very nice And then now passive noise cancellation is very nice product.,5.0,117
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Perfect product!,"This product is very good in this price range. Best thing which is I likes it's design of pods. Sound quality is also very good and bass is also perfect. So I can suggest those who are looking for pods with less price, they can go for it.",5.0,36
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Perfect product!,Excellent product from #Boult.💗💗.Very good performance totally battery life awesome 👌🏻👌🏻👌🏻..Boss is perfect.. Loved it Very much in this Price range 🔥🔥,5.0,48
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Good,"Sound quality  super ,build quality not so good and also bluetooth calling our voice not so clear hearing opposite person,my choice colour is not available my location, overall okay Budget Boult",3.0,65
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Best in the market!,"Very good quality I have ever seen, And the style is very pretty cute ❤️",5.0,48
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Terrific,"Worth to buy. For this price it's good. Bass decent that helps your ear from heavy damage. Decent, good sound quality. Mainly I bought this for good design. So your ears will not hurt for long listening music. I bought ear bud model But it's goes inside ear So ear feels pain and no air circulation feel. So i bought this model. It's Perfectly fit in my ear. This is light weight so u not feel heavy during listing",5.0,11
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Mind-blowing purchase,"I think i am the 1st Buyer of this Product, Excellent Excellent Product at this Price Point, You Can't get  better then this in this budget, Looks Beautiful in Ears & size is Also Very Compact.. Pros Comfortable Compact Size Looks beautiful Loudness Sound Quality Bass Battery Backup Cons Charging Case looks cheap (But Price is just 1k So it's acceptable) Didn't found another Cons yet Didn't test For Calling (so can't tell you about Calling experience) Conclusion:- You Can go Blindly for this Product, i can assure you, you can't get better Buds in this price Range. Give 👍 if you found this review Helpful, Thank you",5.0,9
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Awesome,I will recommend this product to all the people who are reading my comment/review. 1. Value for money 2. Great sound 3. Worth Buying 4. Satisfied Sometimes it fell from my hand but still it's working perfectly without any error. Any product you buy it always depends on the way you use it. Use it wisely it will go for long.,5.0,11
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Awesome,"It’s amazing yaar… in such low price it’s fantastic. Using with my iphone. Working greatly. Sound amazing, battery backup great. Comfort wise also good. U can’t imagine i am comparing it with original airpods which I have too. Get it??😄",5.0,12
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Wonderful,I got this product in 850 so it's a great value of money and this one is provide best bass best designed look it feels great in ear firstly I think it does not fit in my ear but didn't so if you want to buy under 1000 tws just go for it better from mivi.. 😇🙏,5.0,16
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Simply awesome,The best pods till date...sound quality is up to mark....as well as price is also reasonable...and battery life is also gud...I use it all day and charge it almost after 2 days....all over I loved it,5.0,3
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Really Nice,"Worth accordingly price. If you are taking for fashion and design, they are amazing. And if you are taking for listening only then you can purchase something more better than this. But nevertheless they are also good in volume and bass. It’s and average product in listening and best in design. And battery backup is too good.",4.0,18
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Delightful,Worth buy. Nice product with good sound quality and easy to carry. However touch is not functioning properly sometimes it's a worth buy.,4.0,8
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Just wow!,"Great quality thanks for this i can't believe how impressive is this audio bass trebles is great good quality,i recommend to all buyers to buy with without any queries thinking about this .Thanks for this 😍😍😌😌😌",5.0,11
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Worth every penny,Good sound quality best battery back-up lightweight great bass I love it,5.0,10
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Wonderful,"Sound quality is very good and pleasant. If used with correct equaliser settings(i use poweramp player with boosted bass), the bass is awesome and non distorted at high volumes also. Touch controls are a complete letdown, i use it only to wakeup the xpods when they are off due to non usage, else they are not so responsive. Mic quality is just ok in silent environment and the communication works. Charges quickly and gives good battery backup as promised. At half volume also its loud enough. Case is very small and handy. I hv white colour but believe black ones look much better. Using since past 8 months and happy with the product due to great sound quality and in ear comfort.",4.0,3
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Highly recommended,"This product is very good in this price range. Best thing which is I likes it's design of pods. Sound quality is also very good and bass is also perfect. So I can suggest those who are looking for pods with less price, they can go for it.",5.0,6
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Nice,"Probably the best option at this price range. The bass is moderate, touch response is descent. Works fine during calls. Build quality is good.",3.0,1
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Good choice,Built quality is okay but sound is really good in this price range. Comfortable for long hours. Bass is good only if it fits perfectly.,4.0,1
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Wonderful,Very good at this price. Very light weight. Doesnt feel it is in the ear. Good sound quality and good bass.  Dont compare with airpods,5.0,1
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Terrific purchase,"Good one, nice battery backup and nice touchings, well built and steady as in budget class.",5.0,0
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Awesome,So fast delivery thank you so much Flipkart I am so happy product is so good sound quality so excellent,5.0,2
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Good quality product,Very light weight and very easy to carry and also value for money the most good thing is that sound quality is adorable or Cristal clear.😊😊😊😊😊,4.0,1
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Wonderful,Very good product,5.0,109
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Delightful,Fantastic product very nice looking,4.0,78
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Highly recommended,Awesome 😍,5.0,172
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Worth every penny,Very nice product...must buy this product,5.0,75
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Classy product,Good quality 😊,5.0,39
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Good choice,The best quality,4.0,79
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Just wow!,Good sound quality,5.0,81
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Best in the market!,Nice sound Baas good and value for money 💰💰🤑,5.0,43
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Super!,Very good,5.0,52
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Value-for-money,Good product and best sound qualite,4.0,23
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Not recommended at all,"Right earbud not charging , battery backup only 2 hours",1.0,12
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Super!,Nice headphone,5.0,27
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Don't waste your money,Pls don't buy this product. It has connecting issues. It did not connect automatically. And if you connect it and play song and put your mobile in your pants pocket it disconnects. And some times one side earpiece stoped automatically. And they said if you put earbuds is case it poffer off and turn charging mode automatically it's not like that. I put my both earbuds in the case and it stays connected to the phone. And other it many more other issues. Plss don't waste on this product. I am returning this. If you want to waste your money then buy it.,1.0,57
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Awesome,Good product 👍 nice  sound Super ❤️❤️,5.0,41
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Great product,Good experience.The touch has to be a little better.,5.0,15
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Horrible,3days working after 3days one side not working..so bad experience,1.0,27
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Not recommended at all,Third quality product....  Some Times automatically disconnected.,1.0,60
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Could be way better,Touch not working properly . Its too bad,2.0,32
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Not good,Calling quality poor 👎👎👎👎👎👎👎👎👎👎👎👎,2.0,9
flipkart,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,3.9,Must buy!,I fell in love with Bolt Audio Airbus,5.0,10
flipkart,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",4.2,Nice product,"👉Sound quality is excellent, Bass is awesome, balanced bass and treble, 👉Build quality is good but One Plus Z Bass Edition has better build quality in comparison of this, 👉Battery backup is awesome, as per commitment it is actual approximately 28 hours, 👉Wire texture looks premium quality, very comfortable, 👉Overall value for money neckband wireless earphone in this price segment, don't go with bad reviews, its really awesome..",4.0,2107
flipkart,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",4.2,Simply awesome,"Writing this review after using this product for two weeks , so u can find ur neck band , Prose :- * A loude and clear music * Amazing Bass quality , 12.4mm driv just blows up mind  clear Instrument sounds * Good batry back up * Nice build quality, and hand free usage design of buds is good fits in ear , * Clear voice calls Cons ;- * Heavy bass sometimes suppress vocals * Absence of Quick switch option ☹️ * BLUTOOTH V5.O Over All Like me other bass or loud music lovers , Don't think just go for it ,,,,,🤗 I enjoyed this product very much. Have a good time",5.0,281
flipkart,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",4.2,Simply awesome,Excellent product. Superb bass. Worth for money. Full clear and crisp sound. Battery is very powerful.,5.0,1481
flipkart,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",4.2,Simply awesome,Superb product actually I won’t prefer wireless headphones but i loved this one ❤️.. base i nice not too much high and vocals are superb just go for it,5.0,732
flipkart,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",4.2,Mind-blowing purchase,"This is worth every penny you spend. I doesn't disappoint in any way. Delivery was 2 days and charged it before using and I have been using it for 10 hours straight and its still 90% charge. I don't know currently how much time it would last, though I won't count till then because I trust the brand and so far battery looks awesome. The sound quality is different from the boat rockerz I was using as it consists more mettalic type of bass and it feels amazing. Its easy to use, by just seperating the ear pieces from each others magnetic connection it boots up and connects quickly even when you are using other than a one plus mobile phone. Build quality is awesome and it doesn't come out of ears and it fits perfectly, I sometimes forget I have put it in ears. I didn't test the full 0-100 charge but I did 80-100% and it happened in just 10minutes. It's a longlife product and go for it 👍",5.0,651
flipkart,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",4.2,Does the job,"As a matter of giving review about this product , i m using dis from three week so giving 3 out of 5 because one plus didn't improve the sound quality at all , they r giving same sound quality as the previous version except the bass , bass is Little bit high . And most of all the battery life is good from the last version ( base edition) but not as good as they are claiming 30 hours , it is hardly giving 15-16hours battery backup . That's why I am giving the 3 stars . For same sound quality as the previous version and 15-16hrs battery life... Btw thanks Flipkart",3.0,122
flipkart,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",4.2,Best in the market!,"Am never feel the experience of wireless earphones before it so it's my first bought to go for OnePlus brand even it's from china... Well i love the sound quality, still have to check the battery backup but it's works awesome... Very light weight... Price is need to little low but it's fine to go for it... And i loved it... 🤘😃",5.0,146
flipkart,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",4.2,Classy product,Wireless Bullets are first impressions are impressive this price. Never come this price with this quality and sound was awesome. 1. Sound was amazing I am Sony wire headset. Since 5 years I will see lot of head set i don't like 2. Build quality was good. 3. Actually iam bass lover iam waiting for best bass in  wireless bullets with best quality this is right one for bass lovers. 4. Price is worth bull. 5. You can choose this one.,5.0,267
flipkart,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",4.2,Worthless,Don't buy this product during the call other ends voice is very low... And on the TOP of FLIPKART will never support in rufunds. This is geniune feedback after using the working product after few days.. for music listening this headphone has great voice output.,1.0,223
flipkart,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",4.2,Fabulous!,"I will say in one word it is fantastic, awesome, fabulous & marvellous it is one of the good & best bluethoot neckband because of the sound, the bass, the mic, the battery, the call quality & the way of design is very very very good for the year of 2022 the oneplus bluethoot is more far better than other bluethoot neckband so it called by the people one is all i, e oneplus bluethoot wireless z2 overall it is very good product so I am really happy & fully satisfied with this product so guys it is faith & honest review go for it no need to think twice so once more I am really thanking to flipkart & my brand oneplus wireless bluethoot z2, thanks.",5.0,21
flipkart,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",4.2,Brilliant,Battery Backup                -   Excellent Charging Speed               - Excellent Sound Quality                  - Excellent Build Quality                     - Very Good Audio of Video Latency.  - Fair Fair / Good / Very Good / Excellent,5.0,56
flipkart,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",4.2,Moderate,1. In terms of build quality: poor. Oneplus Bullets wireless  z was 10 times better then this. Price was same of this. But that was more comfortable around your neck & the quality of rubbing so good. But in this one you will find no difference between Oneplus and any other brand's neck band. 2. Connectivity: I bought it recently 2 days back and I'm already facing connectivity issue. After detaching these ear burds it should be auto connect to your phone but sometimes it's not working. Also it's taking longer time to connect with phone. Previous model of these I mean oneplus bullets wireless z was so much perfect in everything. I don't know why you guys remove that model. Over All I don't like it at all,2.0,22
flipkart,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",4.2,Fabulous!,Sound quality is good but on full volume trouble feels on high side mid volume bass and trouble sounds up to the mark you can't differentiate sound with wired earphone or OnePlus bullets z2 on 70-80% volume if you love bass music like then go for it ! Battery backup is excellent ☺️ charge for 10 minutes and it last for 16 to 18 hours easily ❤️ in bulid quality it feels premium and light weight for sure 😊 Cons : 1. If you have old device or without Dolby Atmos then the sound quality feels like 1k Bluetooth neckband,5.0,29
flipkart,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",4.2,Great product,"Totally,Worth the amount!!! 💯💯💯 I am fully satisfied with the product ❤😍. It's worth evry penny, but i would have been more satisfied if there was a cover for the charging port as well🤧As dust can easily go inside the port. Otherwise great product by oneplus 😄❤❤❤. Ordered and got it delivered before 24 hours. 😄💖 I would submit another review after 1 month. Today's 4/7/22",5.0,95
flipkart,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",4.2,Mind-blowing purchase,Nice headphone value for money product bass is very good vocal clear build kawlity is very good  highly recommend...,5.0,86
flipkart,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",4.2,Fabulous!,Sound vocals are crysp & clear until 95% (volume)(5/5) Bass is also good(4.5/5) Battery backup is great(5/5) Quality of headphones is great(5/5) Overall it's a great product (for my POV) I literally loved it😍❤‍🔥 It's not for pro gamers it's only for Oneplus & Music lovers🎶,5.0,87
